company_name,active_vacancies,inactive_vacancies
lanit,40,89
tinkoff,58,65
softline,50,12
softline,,
sberbank-russia,35,399
beeline,22,64
djet,21,20
lanit,,
mailrugroup,20,291
sberbank-russia,,
tinkoff,,
avito,16,148
idt-technologies,16,0
beeline,,
djet,,
tagesjump,19,2
kaspersky,15,249
mts,14,188
funbox,13,35
mailrugroup,,
avito,,
kazanexpress,13,0
2gis,13,83
vseinstrumenti,12,34
kaspersky,,
mts,,
2gis,,
zonatelecom,11,4
sportmaster-lab,11,35
stc,11,0
korusconsulting,11,0
funbox,,
npo-angstrem,9,0
litota,11,36
dins,9,47
yandex,9,324
korusconsulting,,
vseinstrumenti,,
hcb,9,84
lockobank,3,10
fingrad,3,3
examus,3,0
sportmaster-lab,,
conjoint-ly,3,3
crypterium,3,9
lucky-online,3,1
smart-boutique,3,5
omprussia,3,2
t-agency,3,5
makeomatic,3,22
hcb,,
vipservice,3,5
pik-broker,3,0
jimmy,3,6
dins,,
yandex,,
manychat,3,22
faceapp,3,6
netology-group,3,34
briskly,3,0
holyweb,3,1
genue,3,11
custis,3,2
appfollow,3,16
evenlab,3,9
techplatforms,1,1
gyre-rig,3,0
heaven11,2,9
adv-solutions,5,0
softsolutions-inc,5,5
evotor,5,11
netology-group,,
svcm,5,2
okpixels,5,16
blogman,5,9
itsmartfinance,5,0
manychat,,
x5foodtech,5,5
fpjs,5,0
nash-travel,5,9
softlab,5,11
rondem-it,5,3
betboom,5,0
sima-land,5,5
intrtl,5,2
finfort,5,0
andersen,5,50
kaus,5,15
sibur,5,22
svcm,,
x5foodtech,,
improvegroup,5,14
x5,5,82
pfsz42,5,0
webinar-ru,5,31
auriga,5,32
croc,3,23
simtech,3,4
relsys,3,1
evrone,3,4
hexlet-io,3,2
starkgames,3,10
tripment,3,4
x5,,
tutu,3,23
andersen,,
auriga,,
targem,3,2
croc,,
code-pilots,3,16
leveltravel,3,9
playrix,3,71
sberbank-insurance,3,2
datarockets,3,6
idpowers,3,13
big3,3,4
aq,3,3
rubbles,3,5
sportrecs,3,3
whoernet,2,1
sveak,3,1
svrauto,3,0
prontosms,3,0
hexlet-io,,
onclass,3,1
vtb,3,17
neolab,8,5
tutu,,
eltex,8,21
accenture-rus,8,4
ibs,10,12
jetstyle,7,1
renlife,7,1
alfabank,7,46
sber-logistic,7,9
eltex,,
accenture-rus,,
vtb,,
hrprime,6,0
intermedia,6,2
exness,7,20
xsolla,6,55
plarium-url,7,114
affise,6,30
bellintegrator,6,91
deloitte,6,0
ibs,,
admitad,6,1
alfabank,,
fabrique,6,4
codemotion,6,16
xsolla,,
coolclever,5,1
psb,6,88
aligntechnology,5,15
gaijin,5,6
ikitlab,5,24
admitad,,
tennisi,5,3
sparkequation,5,6
recruitit,4,0
samoletgroup,5,10
bellintegrator,,
psb,,
aligntechnology,,
datum-group,5,0
vsk,5,5
selectif-me,5,0
parma,5,3
fintech-iq,5,1
infosec,5,11
aristos-url,5,4
dialog,5,37
csssr,5,22
deeplay,5,5
vsk,,
softtelematika,5,6
mediasoft,5,0
juro,4,0
gradient-photo,4,3
evilmartians,4,5
parma,,
spk,4,0
dialog,,
experimentx,4,0
company-fixprice,4,3
topcase,4,0
spora,4,0
rabota-ru,4,5
rogii,4,3
cqg,4,5
irlix,4,2
onlinesim,4,5
teleperformance,4,7
rabota-ru,,
netping,4,8
bq,4,11
softtelematika,,
r-ulybka,4,12
equiron,4,1
goldapple,4,13
hidden-pool-llc,4,5
evilmartians,,
benchmark,4,0
irlix,,
readyforsky,4,27
skbkontur,4,44
verme,4,8
boxberry,4,10
fittinvrn,4,0
rossko,4,3
ramblergroup,4,40
skyeng,4,100
opensolutions,4,10
ocs,4,4
readyforsky,,
betby,3,2
mkb,3,0
igooods,4,15
tatneft,4,0
ditmos-url,4,9
divisionlabs,4,0
ramblergroup,,
jetbrains,4,22
sellavi,3,2
idfinance,3,6
company-gp7,3,0
skbkontur,,
dater,3,13
rbkons,3,13
streamllc,3,15
skyeng,,
wazzup,3,5
jetbrains,,
reksoft,3,8
dnateam,3,3
itrecrut,3,0
plazius,3,30
talentonline,3,2
apphud,3,2
streamllc,,
isoit,3,12
wazzup,,
syazan,3,9
reksoft,,
quins,3,2
nitka,3,205
powertech,3,1
nau-men,3,105
httplab,3,1
ivi,2,27
beyond100,0,0
cube,3,0
intaro,2,4
isoit,,
topexecutive,2,3
esh-derevenskoe,2,1
nau-men,,
helastel,2,6
americor,2,13
axsoft,2,0
pmd,2,11
bigclick,0,0
spectrumdata,2,7
verifika,2,4
arkadium,2,5
emailsoldiers,2,0
natson,2,5
itm,2,37
shtrafovnet,2,1
ivi,,
americor,,
technology,2,4
enjoypro,2,1
visiology,2,4
pochtabank,2,29
zavod,2,7
at-gp,2,2
efsol,2,0
plastic-republic,2,0
pmd,,
divan-ru,2,5
inex,2,7
ctrlweb,2,0
inmyroom,2,3
heartex,2,4
autofaq,2,0
uchi,2,22
bsl-dev,2,14
almalence,2,1
umbrellio,2,7
luxoft,2,29
modum-lab,2,0
leantech-ai,2,0
akvelon-ivanovo,2,9
freshcredit,2,0
mastercr,2,0
gk-arti,2,5
koshelek,2,22
ccagency,2,0
bricksinc,2,1
madappgangau,2,0
xcritical,2,6
uchi,,
droice-labs,2,2
alfastrah,2,0
okko,2,31
bookcentre,2,9
mobileup,2,14
mediacomm,2,6
sarex,2,7
festagency,2,5
tr-logic,2,7
doclab,2,1
luxoft,,
vr-dev-team,0,0
multibonus,2,8
rbs-payments,2,3
sbermarket,2,23
okko,,
bookcentre,,
instadev,2,1
itpark-astrakhan,2,4
molga,2,0
oprosso,2,1
surf,2,8
aviakassa,2,1
rosfines,1,9
kenmore-design,2,2
hand2note,2,2
optisystems24,2,0
tashirtelecom,2,0
webservice,2,0
g1software,2,8
mobileup,,
trustsoft,2,0
revotech,2,0
dicehub,2,12
vms-software,2,6
devhouse,2,6
rosfines,,
dc2bru,2,20
unitbean,2,11
rebrainme,2,0
flexites,2,1
artstation,2,6
creative,2,10
autodoc,2,0
hrtimewebru,2,14
balance,2,12
lunu,2,6
altair,2,7
veronaschool,2,1
videoly,2,1
lcoach,2,0
aitudala,2,2
icode,2,1
getdisco,2,3
roadtravel,0,0
balance,,
atlantis,3,6
businessru,2,1
kpmg,1,27
dc2bru,,
betcity,1,4
webmercs,1,0
5x10,1,1
tentorg,0,4
ipodigital,1,0
bonusb,1,0
medialine,1,0
videoly,,
daylight-liontex,1,0
ntpayments,1,0
garpix,1,1
rgsoft,1,0
babyblog,1,13
nssoft,1,5
arcsinus,1,15
dgrp,0,1
outofcloud,1,3
exbico,1,5
cloudally,1,1
lmarkt,1,0
bpmobile,1,8
petshop,1,7
kadsystems,2,10
paybox-money,1,2
supportit,1,4
emirex,1,0
prisma,1,2
intech-global,1,8
pizzasoft,1,0
vivalavika,1,0
2reallife,1,7
pioner-kz,1,3
it-docks,1,1
retable,1,1
litokol,1,0
cloudally,,
hotmaps,1,0
roonix,1,3
exbico,,
europlan,1,2
bast,1,0
aktivsystems,1,0
legko,1,1
wire-capital,1,3
mygento,1,4
tm,1,41
verf,1,4
smmplanner,1,5
softmasters,1,0
videolab-online,1,2
gamearena,1,0
wearevolt,1,25
zerion,2,3
bi-bi,2,6
thezal,2,1
adapty,2,1
schooleducation,2,0
innoseti,2,6
lightmap,2,9
myagi,2,0
avrora-it,2,0
mediaset,2,4
southbridge,2,5
katren,2,4
mindbox,2,0
tm,,
deutschetelekomitsolutions,2,15
getmobit,2,7
63pokupki,2,2
investengine,2,6
kraftway,2,5
rau,2,0
beamx,2,0
bashtoday,2,6
101xp,2,20
advocoll,2,1
whisk,2,35
simpledigital,1,0
litebox,2,2
ctm,1,4
tucki,1,2
nomadic-soft,1,10
mercdev-com,1,1
salairtrans,1,2
luminati,1,2
bit-master,1,3
mind4,1,8
smartcheckout,1,0
platformalp,1,7
chillicode,1,7
maverick,1,5
edstories,1,0
rumicon,1,2
searchanise,1,1
whisk,,
mercdev-com,,
elfin-tech,1,0
gkrem,1,0
bugout,1,1
mindbox,,
amo-tm,1,0
dolphin,1,4
incodev-lab,1,0
sofiadoors,1,0
orioninc,1,21
internet-platform,2,3
mobibean,2,1
kronshtadt,1,1
maverick,,
permpeople,2,0
hunt4u,2,23
leningradmedia,2,24
ntiwork,2,19
health-samurai,2,5
cft,2,16
simbirsoft,2,24
4taps,2,2
rqc,2,26
vigrom,2,17
dreamjobrnd,2,14
zdravservice,2,3
lifehacker,2,6
rdtexru,2,5
aisomm,0,0
creativepeople,2,2
coreapp,2,12
idwell,0,0
akmeservices,1,12
tmk,0,1
bildy,1,1
vezzer-no,1,2
laptop,1,2
junto,1,11
pomogiprosto,1,0
hrsinternational,1,0
tprs,1,1
rentride,1,0
mtt,2,7
adlogic,1,0
codenix,1,0
ortnec-services,1,29
ey-russia,1,4
purrweb,1,0
officeworldkm,1,0
hunet,1,0
filkos,1,10
moneyrock,1,0
enrsoft,1,0
jugru,1,6
simbirsoft,,
cft,,
wsmgroup,1,24
prof-partner,1,0
sunstrikestudios,1,0
softage,1,2
hurma,1,0
zyfra,1,10
cniielectronica,1,0
bars-open,1,27
3deye,1,2
bisoutsourcing,0,1
meshok,1,1
salita,1,0
smgl,1,4
flair-hr,1,1
webdiscovery,1,3
healthnorms,1,2
topradar,1,0
admon,1,3
redsteep,0,7
standartpark,1,0
itaml,1,4
hemmersbach,1,12
wondermonkeys,0,0
fundraiseup,1,0
swzl,1,3
bezlimit,1,5
tekora,1,6
inoventica,1,2
tada,1,8
dododev,1,43
agroru,1,2
wowvendor,0,4
worldintercom,1,1
appstockus,1,5
ontec,1,2
kavichki,1,9
company-sgmsoft,1,5
yota,1,8
mentalstack,1,7
bars-open,,
rerooms,1,3
cityads,1,0
mbk-credit,1,2
messapps,1,20
easurn,1,0
gbms,1,2
ertelecom,1,7
calldynamics,1,2
transneftenergo,1,4
megafon,1,52
griddynamics,1,10
intime-digital,1,1
userstory,1,9
martech,1,0
dododev,,
softconsult,1,0
appollo,2,1
kavichki,,
italabs,1,0
torbor,1,1
ertelecom,,
ihc,1,2
poddon,1,6
i-advert,1,3
2b-company,1,0
uvspb,1,0
zabota-tech,1,0
changellengee,1,7
medme,1,0
kamtor,1,20
creative-bz,1,0
inter-regional,1,0
e-produce,1,3
kolbasa,1,2
riverstart-digital,1,9
provectus,1,4
megafon,,
lineapp,1,6
griddynamics,,
el-terminal,1,0
itclub,1,2
expressru,1,6
eugc,1,1
softunion,1,0
insightwhale,1,8
aeroclub,1,7
hello-doc,1,0
freezebytes,1,0
optipart,1,2
uniweb,1,1
health-gorilla-url,1,5
medportal-ru,1,2
intime-digital,,
tass-specials,1,0
appmagic,1,11
neti,1,6
we-can-it,1,0
frumatic,1,9
ottofellercom,1,1
involta,1,18
tixel,1,0
codeinside,1,6
nuzhnapomosh,1,3
mirafox,1,13
wisebits,1,20
midas-investments,1,0
sionic,1,3
rusfinancebank,1,24
viqeo,1,0
tsep-pro,1,1
simsales,1,0
flowwow,1,11
damir-in,1,0
smoking-shop,1,0
3snet,1,6
profi-travel,1,0
gandiva,1,3
laoshi,1,0
systech,1,8
yoles,1,0
attotrading,1,2
agat-group,1,1
kodix,1,5
tkbbank,1,0
rivierarealty,1,2
beststocks,1,0
a-b63,1,2
simkomat,1,0
nikilekt-ru,1,0
gandiva,,
neolant,1,4
savetime,0,12
serso,1,0
pmi,1,0
fullstack-development,1,2
hoodies,1,14
aventusit,1,4
mastersapp,1,1
remark,1,5
mirafox,,
flowwow,,
chilihelp,1,1
codesupplyco,1,2
livemaster,1,9
abm-jsc,1,3
nimbusweb,1,3
retailcrm,1,7
bonrepublic,1,0
itis-team,1,0
taptima,1,0
optimaxdev,1,12
wildlabs,1,2
remark,,
kvint,1,0
autozs,1,0
hoodies,,
fogsoft,1,0
bestceramic,1,2
feip,1,0
cosmobox,1,0
madappgang,1,0
alma,1,9
carrot-quest,1,1
trifoundation,1,0
prestoheads,1,2
jobtoday,1,4
sbibank,1,12
icons8,1,24
o2k,1,0
devpals,1,0
modern-bi-solutions,1,0
contactive,1,1
workato,1,0
qleanru,1,13
optimaxdev,,
solitclouds,1,7
indacoin,1,1
bfg-group,1,4
servers-com,1,7
rgbcode,1,16
dataart,1,47
icons8,,
stepik,1,11
rus-buket,1,2
epam-com,1,65
truepositive,1,1
domclick,1,24
pandamediann,1,3
studiofact,1,3
servicewhale,1,1
specprofi,0,0
dataart,,
aipeople,1,8
solitclouds,,
likecentre,1,0
rockstonedev,1,0
lbr,1,0
gimme-the-best-recruitment,1,28
nulana,1,0
champion,1,0
spotware,1,79
toqomo,1,8
habidatum,1,2
inelso,1,0
terem-pro,1,0
gloraxinfotech,1,7
hypermarketmebel,1,0
aplaut,1,3
riche,1,0
serokell,1,0
korda-group,1,2
domclick,,
daibobru,1,0
specteh,1,0
remoteassembly,0,7
deuscraft,1,2
motorsportnetwork,1,4
rockstonedev,,
bk-dating,1,2
resolventa,1,0
starnavi,1,0
multiwork,1,0
locards,1,1
solvespro,1,4
dogovor24,1,5
diffco,1,20
greensight,1,7
epam-com,,
weigandt-consulting,1,6
devteamspace,1,3
network,1,1
sap,0,0
dnku,1,0
eonx,1,3
tudent,1,0
rmc,1,2
agora,1,5
latera,1,1
oblivki,1,1
city-consult,1,0
garagetools,1,2
sirengroup,1,19
platinum,1,9
modesco,1,16
omertex,1,8
factory5,1,5
nsd,1,9
maroom,1,0
ithouse,1,14
company-zorra,1,1
mars,1,6
yva-ai,1,1
mksmedia,1,0
plastilin-art,1,0
topcontent,1,20
digitalhabits,1,4
tflex,1,8
knowledge-genesis,1,0
teachbase,1,13
kck,1,5
softcorp,1,2
e-raskrutka,1,0
bivgroup,1,0
elitparket,1,0
easyflow,1,0
bps,1,1
rtiger-com,1,7
qwintry,1,27
fuelup,1,0
flipper-devices,0,0
banzaigames,1,34
lumiprobe-rus,1,0
iva-tech,1,0
asm,1,2
fasttrack,1,4
pinbonus,1,12
deepvoice,1,1
zenfox,1,4
scanfactory,1,0
accordpost,1,0
rocketscienceuniverse,1,0
digitalwand,1,9
stormwall,1,2
otpbank,1,6
itc-solutions,1,2
suhorukov-agency,1,0
zipdiz,1,2
sport24,1,1
pronkers,1,0
gamesbee,1,0
alfin,1,0
klarity,1,0
digitalreputation,1,3
familyfriend,1,1
intell-tech,1,2
top3dshop,1,4
grapheme,1,10
school-xyz,1,4
brainshells,1,1
i-exp,1,0
digitalwand,,
itsumma,1,11
otpbank,,
life-pay,1,2
kofax,1,0
borlas,1,0
astroshock,1,4
alpsee,1,0
beaversbrothers,1,16
7click,0,1
leadtop,1,3
myotv,1,0
exadel,1,55
